route_id,route_short_name,route_long_name,route_type,route_color,trip_count,unique_shape_count,direction_count,unique_stop_count,service_id_count,representative_shape_ids,representative_length_km
10232,256,Whitby Estate/Park Royal/Spuraway,3,,88,2,2,37,4,317882|317884,8.839
11201,033,16th & 33rd Avenue,3,,265,2,2,89,3,317484|317485,17.858
11202,042,Alma/Spanish Banks,3,,216,2,2,20,2,317493|317494,3.5
11692,364,64 Avenue,3,,264,2,2,96,5,318046|318047,21.605
11693,388,88 Avenue,3,,66,2,2,93,1,318064|318065,33.92
11696,609,South Delta Exchange/Ladner Exchange,3,,197,2,2,77,3,318254|318255,18.322
12940,595,208 Street,3,,207,4,2,48,5,318223|318225,16.892
13684,414,Richmond Oval/Brighouse Station,3,,88,3,2,23,2,318153|318156,4.478
13686,,Canada Line,1,007c9f,1670,8,2,34,3,318362|318366,14.696
16717,209,Mountain Hwy,3,,71,5,2,92,3,317725|317726,18.305
16718,014,Hastings/UBC Exchange,3,,717,8,2,120,8,318537|318540,18.484
16719,109,New West Station/Lougheed Station,3,,174,2,2,34,3,317557|317558,7.262
17707,337,Fraser Heights/Surrey Central Station,3,,384,6,2,35,5,318001|318003,9.286
18213,231,Harbourside/Lonsdale Quay,3,,10,2,2,10,1,317791|317792,2.508
18705,531,White Rock Centre/Willowbrook,3,,232,5,2,120,4,318197|318201,23.258
20667,555,Port Mann Express,3,,263,2,2,6,3,318202|318203,22.162
22638,188,Coast Meridian Rd,3,,272,2,2,70,5,317719|317720,12.613
22639,227,Lynn Valley/Phibbs Exchange,3,,226,2,2,46,3,317772|317774,7.708
23384,503,Fraser Hwy Express,3,,527,9,2,84,5,318181|318186,35.178
29038,342,Langley Centre/Newton Exchange,3,,289,4,2,88,3,318016|318018,21.291
29039,864,Lord Tweedsmuir School Special,3,,1,1,1,24,1,318352,11.543
29040,840,Brookswood School Special,3,,1,1,1,22,1,318345,7.408
30036,170,Port Coquitlam Station/Port Coquitlam South,3,,250,4,2,34,4,317672|317674,4.138
30037,171,Coquitlam Central Station/Fremont,3,,212,2,2,25,5,317676|317677,6.707
30038,172,Coquitlam Central Station/Riverside,3,,212,3,2,59,4,317678|317680,10.688
30039,173,Coquitlam Central Station/Cedar,3,,208,3,2,57,4,317683|317684,11.715
30040,174,Coquitlam Central Station/Rocklin,3,,209,3,2,68,5,317686|317688,12.89
30041,175,Coquitlam Central Station/Meridian,3,,49,4,2,38,3,317691|317693,8.333
30042,179,Coquitlam Central Station/Buntzen Lake,3,,76,2,2,38,2,317694|317695,11.982
30043,180,Moody Centre Station/Lougheed Station,3,,305,3,2,62,4,317696|317698,9.666
30044,181,Moody Centre Station/Ioco,3,,168,5,2,62,3,317703|318506,14.339
30045,182,Moody Centre Station/Belcarra,3,,160,4,2,74,3,317704|317707,19.154
30046,183,Moody Centre Station/Coquitlam Central Station,3,,279,2,2,73,5,317709|317710,13.323
30047,184,Moody Centre Station/Noons Creek,3,,225,2,2,37,3,317711|317712,6.005
30048,185,Coquitlam Central Station/Lansdowne,3,,225,2,2,27,3,317713|317714,4.45
30049,186,Coquitlam Central Station/Hampton Park,3,,254,2,2,39,5,317715|317716,6.513
30050,187,Coquitlam Central Station/Parkway,3,,240,2,2,39,3,317717|317718,6.48
30051,189,Coquitlam Central Station/Lafarge Park,3,,180,2,2,24,3,317721|317722,4.157
30052,,Millennium Line,1,ffcd00,1292,6,2,34,6,318372|318378,25.517
30053,,Expo Line,1,0033a0,2406,23,2,48,6,318391|318409,28.356
30055,023,Pacific,3,,576,2,2,28,3,317450|317451,5.325
30584,191,Coquitlam Central Station/Princeton,3,,202,2,2,39,3,317723|317724,7.276
31816,360,Ocean Park/Peace Arch Hospital,3,,106,3,2,69,4,318037|318039,12.208
31817,361,Ocean Park/White Rock Centre,3,,107,2,2,85,3,318040|318041,11.419
31818,362,Seaside/White Rock Centre,3,,247,2,2,24,5,318042|318043,3.859
31819,363,Southpoint/Peace Arch Hospital,3,,202,2,2,67,3,318044|318045,12.088
31820,372,Clayton Heights/Langley Centre,3,,176,2,2,47,5,318054|318055,11.104
31821,733,Rock Ridge/Haney Place,3,,137,6,2,42,6,318297|318300,6.833
31822,741,Anderson Creek/Haney Place,3,,144,6,2,46,6,318303|318306,6.829
32799,119,Kingsway,3,,490,2,2,40,3,317575|317576,5.664
33292,133,Holdom Station/Edmonds Station,3,,243,5,2,58,5,317607|317610,8.848
33538,068,UBC Exchange/Wesbrook Village,3,,366,2,2,21,3,317515|317516,6.127
34042,745,Haney Place/Cottonwood,3,,104,6,2,63,5,318315|318317,10.408
34043,746,Haney Place/Albion,3,,102,7,2,58,5,318321|318325,10.698
34044,560,Murrayville/Langley Centre,3,,102,2,2,58,3,318204|318205,10.867
34045,561,Langley Centre/Brookswood,3,,103,3,2,63,4,318206|318208,11.368
34540,719,Meadowtown/Fraser Way,3,,132,2,2,22,3,318292|318293,4.771
34541,722,Meadowtown/Bonson,3,,132,2,2,45,3,318294|318295,7.332
34542,406,Railway Ave,3,,470,3,2,76,5,318109|318110,10.371
34543,408,Garden City,3,,348,7,2,61,9,318130|318133,10.285
34544,282,Mt Gardner/Snug Cove,3,,24,2,2,8,2,317899|317900,5.186
36799,249,Lonsdale Quay/Delbrook,3,,218,2,2,47,5,317830|317832,5.934
37807,R5,Hastings St,3,008522,1003,12,2,34,6,318471|318476,17.719
37808,R1,King George Blvd,3,008522,590,6,2,25,3,318452|318456,11.34
37809,R3,Lougheed Hwy,3,008522,491,2,2,16,5,318462|318463,17.297
37810,R4,41st Avenue,3,008522,821,2,2,34,3,318464|318465,19.241
38311,R2,Marine Drive,3,008522,557,4,2,21,5,318458|318460,10.196
